Name,Start-Date,End-Date
Tour with the curator: Continuum - Karsh Award artists welcome a new generation ,24/09/2017,24/09/2017
Push For Your Tush - Ottawa,24/06/2017,24/06/2017
Used Book Sale,27/10/2017,28/10/2017
Ciné-club « Mustang »,05/05/2017,05/05/2017
Golden Triangle Art Fair,27/05/2017,27/05/2017
James Bond in A Convenient Lie,12/04/2018,12/04/2018
Rita Tabback in concert,18/08/2017,18/08/2017
Ancestry Day,19/06/2017,19/06/2017
Stars with NAC Orchestra,15/12/2018,15/12/2018
Family Fun Day,13/10/2018,13/10/2018
Ottawa Craft Beer Run,17/06/2017,17/06/2017
Ciné-club - Ce sentiment de l'été,15/09/2017,15/09/2017
TealFest 2018 Garage Sale,26/05/2018,26/05/2018
Something Old and Something New,10/05/2018,10/05/2018
Paleontology: Fossil Dig,05/07/2018,05/07/2018
Ottawa Adventure Film Festival 2018,17/11/2018,21/11/2018
Global Tastes - Canadian Cheeses,07/11/2017,07/11/2017
"The Powergoats, Jasper Bridge, & Jillian Kerr",27/05/2017,27/05/2017
Annual Fall Bazaar,20/10/2018,20/10/2018
Moonfruits & Kyra Shaughnessy Live,29/10/2017,29/10/2017
St. Lawrence String Quartet,15/01/2018,15/01/2018
Remigio in Concert,18/12/2017,18/12/2017
Momo Spot Pop-Up Restaurant III,01/12/2018,01/12/2018
Paint Night,12/01/2018,12/01/2018
Canada Day - The new Bank of Canada Museum,01/07/2017,01/07/2017
Boquerón (Bolivia) - Latin American Film Festival,29/04/2017,29/04/2017
Requiem for Peace,07/04/2018,07/04/2018
Music at the Museum - We Will Remember,05/11/2017,05/11/2017
Leahy,09/03/2019,09/03/2019
Flamenco desde aquí,15/06/2018,15/06/2018
Mad Crafters Tea Party & Market ,14/10/2017,14/10/2017
Trivia Night Challenge 2017,16/09/2017,16/09/2017
Archaeology Exhibit,01/08/2018,31/08/2018
Chuckles for Charity,05/04/2018,05/04/2018
Singer-Songwriter & Americana,15/10/2017,15/10/2017
Operatic Brass,08/04/2018,08/04/2018
Shelley and Storgårds,14/10/2017,14/10/2017
Orienteering Ottawa Field Day,19/05/2018,19/05/2018
"Weird With Cats with The Rathburns, All Day Brakfast & The Mourning Kitchen",21/09/2017,21/09/2017
Educate and Feed Communities Foundation BBQ,29/07/2017,29/07/2017
Claire Desjardins: summercrush,19/07/2017,16/08/2017
Patrick Reymond and the Magical Theatre Show,19/11/2017,19/11/2017
Holiday Programming,26/12/2017,07/01/2018
Meadowlands Public School Craft and Vendor Fair ,17/11/2018,17/11/2018
"Série Danse 10 #31 - Lesandra Dodson, Crazy Smooth, FloorPlay",27/09/2018,29/09/2018
Indigenous Day Live,23/06/2018,23/06/2018
Band Together for Nelson House,23/03/2018,23/03/2018
Worldview Studio Fall Fine Art Show,02/12/2017,17/12/2017
The World Remembers,11/09/2018,11/11/2018
Fifty-Five Plus Lifestyle Show,20/04/2018,21/04/2018
2017 Ottawa Pinball and Gameroom Show,02/09/2017,03/09/2017
Dance! Salsa - Merengue - Bachata,20/04/2018,20/04/2018
House of Paint - Jasmine Community Arts Festival,03/06/2017,03/06/2017
The Art of Peter Purdy,15/03/2018,14/04/2018
